,precision,recall,f1-score,support
Monkeypox,0.8846153846153846,0.8214285714285714,0.8518518518518519,28.0
Chickenpox,0.625,0.9090909090909091,0.7407407407407407,11.0
Measles,0.6153846153846154,0.8888888888888888,0.7272727272727273,9.0
Normal,0.9545454545454546,0.7241379310344828,0.8235294117647058,29.0
accuracy,0.8051948051948052,0.8051948051948052,0.8051948051948052,0.8051948051948052
macro avg,0.7698863636363636,0.835886575110713,0.7858486829075064,77.0
weighted avg,0.8423962401235129,0.8051948051948052,0.8107507465796236,77.0
