,precision,recall,f1-score,support
Monkeypox,0.9259259259259259,0.8928571428571429,0.9090909090909091,28.0
Chickenpox,0.8461538461538461,1.0,0.9166666666666666,11.0
Measles,0.875,0.7777777777777778,0.8235294117647058,9.0
Normal,0.9310344827586207,0.9310344827586207,0.9310344827586207,29.0
accuracy,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
macro avg,0.8945285637095982,0.9004173508483853,0.8950803675702256,77.0
weighted avg,0.9105015355015357,0.9090909090909091,0.9084369284904042,77.0
