,precision,recall,f1-score,support
Monkeypox,0.9545454545454546,0.75,0.84,28.0
Chickenpox,0.7692307692307693,0.9090909090909091,0.8333333333333334,11.0
Measles,0.5714285714285714,0.8888888888888888,0.6956521739130435,9.0
Normal,0.8928571428571429,0.8620689655172413,0.8771929824561403,29.0
accuracy,0.8311688311688312,0.8311688311688312,0.8311688311688312,0.8311688311688312
macro avg,0.7970154845154845,0.8525121908742599,0.8115446224256293,77.0
weighted avg,0.8600587723964348,0.8311688311688312,0.836183541858599,77.0
