,precision,recall,f1-score,support
Monkeypox,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0
Chickenpox,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Measles,1.0,0.8888888888888888,0.9411764705882353,9.0
Normal,0.8709677419354839,0.9310344827586207,0.9,29.0
accuracy,0.922077922077922,0.922077922077922,0.922077922077922,0.922077922077922
macro avg,0.935755403497339,0.9143964273274617,0.9239304812834225,77.0
weighted avg,0.9249484088193765,0.922077922077922,0.9226404611431348,77.0
